component_id,component_name,category,vendor,model,version,country_of_origin,quantity,end_of_life
C001,GPU accelerator module,gpu,NVIDIA,H100 SXM5,96.00.74,TW,8,no
C002,GPU baseboard,gpu,NVIDIA,HGX H100 8-GPU,Rev C,TW,1,no
C003,Host processor,cpu,Intel,Xeon Platinum 8480+,SR-2024,US,2,no
C004,Host processor,cpu,AMD,EPYC 9654,B2,TW,2,no
C005,Baseboard management controller,bmc,AMI,MegaRAC SPx12,12.2.0,US,4,no
C006,Server management controller,bmc,Dell,iDRAC9,6.10.80.00,MY,6,no
C007,DGX node management controller,bmc,NVIDIA,DGX-1 BMC,3.38.10,US,2,yes
C008,Platform management firmware,firmware,Intel,Active Management Technology Firmware,11.8.55,US,12,yes
C009,System BIOS,firmware,Supermicro,X13DEG-OAD BIOS,2.1,TW,4,no
C010,System BIOS,firmware,Dell,PowerEdge R760 BIOS,1.9.2,MY,6,no
C011,400G InfiniBand adapter,nic,NVIDIA,ConnectX-7 MCX755106AS,28.39.1002,IL,16,no
C012,Dual-port 25GbE NIC,nic,Meridian Component Works,MCW-25G-2P,1.4.0,SG,8,unknown
C013,Ethernet controller,nic,Broadcom,BCM57508,214.4.60.0,US,8,no
C014,NVMe SSD 7.68TB,storage,Samsung,PM9A3,GDC7302Q,KR,24,no
C015,NVMe SSD 15.36TB,storage,Kioxia,CD8-R,0104,JP,12,no
C016,SAS host bus adapter,storage,Broadcom,MegaRAID 9560-16i,52.26.0-5179,US,4,no
C017,DDR5 RDIMM 64GB,memory,Micron,MTC40F2046S1RC48,Rev B,SG,64,no
C018,DDR5 RDIMM 64GB,memory,SK Hynix,HMCG94AEBRA123N,Rev A,KR,32,no
C019,Power supply unit 3000W,psu,Delta Electronics,DPS-3000AB,1.7,TW,8,no
C020,Rack power distribution unit,psu,Delta Electronics,PDU-32A-3P,2.0,TW,4,no
C021,Redundant PSU shelf,psu,Delta Electronics,PSS-6U,1.1,TW,2,no
C022,Top-of-rack switch,nic,NVIDIA,Spectrum-4 SN5600,3.11.2010,IL,2,no
C023,Out-of-band management switch,nic,Supermicro,SSE-G3648B,1.0.16,TW,2,no
C024,Liquid cooling distribution unit,cooling,Vertiv,CDU-600,4.2,US,1,no
C025,Chassis fan module,cooling,Supermicro,FAN-0161L4,Rev 2,TW,32,no
C026,Boot drive M.2 480GB,storage,Micron,7450 PRO,E2MU200,US,8,no
C027,TPM 2.0 module,firmware,Infineon,SLB9670,7.85,DE,8,no
C028,Rear I/O backplane,other,Generic,BP-2U-REAR,unknown,unknown,4,unknown
C029,GPU power cable harness,other,Generic,CBL-PWR-600,unknown,CN,16,unknown
C030,Rack mounting rail kit,other,Unbranded,RAIL-4U-STD,unknown,unknown,6,unknown
C031,Thermal interface module,cooling,Unbranded,TIM-H100,unknown,unknown,8,unknown
C032,Front panel control board,other,Generic,FP-CTRL-01,unknown,unknown,4,unknown
C033,SATA DOM 128GB,storage,Supermicro,SSD-DM128,S190,TW,4,yes
C034,Midplane interconnect,other,Generic,MP-8GPU,unknown,unknown,1,unknown
